Sample	Gender	Pop
HG01795	female	EAS
HG02085	male	EAS
HG02449	male	AFR
HG01884	female	AFR
HG02129	male	EAS
HG02451	female	AFR
HG01889	female	AFR
HG02131	male	EAS
HG02569	male	AFR
HG01891	female	AFR
HG02136	female	EAS
HG02571	female	AFR
HG01896	female	AFR
HG02061	male	EAS
HG02583	female	AFR
HG01916	female	AFR
HG02073	male	EAS
HG02610	male	AFR
HG01923	male	AMR
HG02105	female	AMR
HG02615	female	AFR
HG01853	female	EAS
HG02179	female	EAS
HG02622	female	AFR
HG01858	female	EAS
HG02181	female	EAS
HG02514	male	EAS
HG01860	male	EAS
HG02383	male	EAS
HG02521	male	EAS
HG01865	male	EAS
HG02388	male	EAS
HG02526	female	EAS
HG01928	male	AMR
HG02390	male	EAS
HG02463	male	AFR
HG01935	male	AMR
HG02395	male	EAS
HG02470	male	AFR
HG01942	female	AMR
HG02287	female	AMR
HG02634	male	AFR
HG01947	male	AMR
HG02299	male	AMR
HG02646	female	AFR
HG01808	female	EAS
HG02302	male	AMR
HG02545	male	AFR
HG01810	male	EAS
HG02307	male	AFR
HG02557	male	AFR
HG01872	male	EAS
HG02314	male	AFR
HG02704	female	AFR
HG02003	female	AMR
HG02321	female	AFR
HG02716	female	AFR
HG02008	male	AMR
HG02225	female	EUR
HG02723	female	AFR
HG02010	female	AFR
HG02232	female	EUR
HG02728	female	SAS
HG02015	male	EAS
HG02237	female	EUR
HG02735	male	SAS
HG02091	female	AMR
HG02275	female	AMR
HG02759	male	AFR
HG02104	male	AMR
HG02282	female	AFR
HG02761	female	AFR
HG02111	female	AFR
HG02408	male	EAS
HG02689	male	SAS
HG02116	male	EAS
HG02410	male	EAS
HG02691	female	SAS
HG02077	male	EAS
HG02415	female	AMR
HG02696	male	SAS
HG02084	female	EAS
HG02364	male	EAS
HG02677	female	AFR
HG02089	female	AMR
HG02371	male	EAS
HG02684	male	SAS
HG01954	female	AMR
HG02256	female	AFR
HG02653	female	SAS
HG01959	female	AFR
HG02345	female	AMR
HG02658	female	SAS
HG01961	male	AMR
HG02629	female	AFR
HG02660	male	SAS
HG01985	female	AFR
HG02636	male	AFR
HG02780	male	SAS
HG01992	female	AMR
HG02643	female	AFR
HG02785	female	SAS
HG01997	female	AMR
HG02648	male	SAS
HG02792	male	SAS
HG01973	female	AMR
HG02650	male	SAS
HG02800	male	AFR
HG01978	female	AMR
HG02605	female	SAS
HG02805	female	AFR
HG01980	female	AMR
HG02612	male	AFR
HG02812	male	AFR
HG02058	male	EAS
HG02624	female	AFR
HG02773	male	AFR
HG02060	female	EAS
HG02547	male	AFR
HG02778	female	SAS
HG02072	female	EAS
HG02554	male	AFR
HG02817	female	AFR
HG02046	female	EAS
HG02559	female	AFR
HG02836	male	AFR
HG02053	male	AFR
HG02561	male	AFR
HG02982	male	AFR
HG02027	male	EAS
HG02489	male	AFR
HG03012	male	SAS
HG02142	female	EAS
HG02491	female	SAS
HG03017	male	SAS
HG02147	female	AMR
HG02496	male	AFR
HG02855	female	AFR
HG02154	female	EAS
HG02465	female	AFR
HG02862	female	AFR
HG02267	female	AMR
HG02477	female	AFR
HG02879	female	AFR
HG02274	male	AMR
HG02484	male	AFR
HG02881	male	AFR
HG02279	male	AMR
HG02573	male	AFR
HG03048	male	AFR
HG02281	male	AFR
HG02580	female	AFR
HG03050	male	AFR
HG02250	male	EAS
HG02585	male	AFR
HG03055	female	AFR
HG02255	male	AFR
HG02511	female	AFR
HG02968	male	AFR
HG02262	male	AMR
HG02523	female	EAS
HG02970	female	AFR
HG02286	female	AMR
HG02597	male	SAS
HG02975	male	AFR
HG02293	female	AMR
HG02600	male	SAS
HG03079	female	AFR
HG02298	female	AMR
HG02427	female	AFR
HG03081	male	AFR
HG02301	female	AMR
HG02439	male	AFR
HG03086	female	AFR
HG02224	male	EUR
HG02667	female	AFR
HG03024	male	AFR
HG02229	female	EUR
HG02679	female	AFR
HG03029	male	AFR
HG02231	male	EUR
HG02681	male	SAS
HG03062	male	AFR
HG02236	male	EUR
HG02686	male	SAS
HG03074	male	AFR
HG02128	male	EAS
HG02763	female	AFR
HG02944	male	AFR
HG02130	female	EAS
HG02768	male	AFR
HG02886	female	AFR
HG02135	male	EAS
HG02770	female	AFR
HG03163	male	AFR
HG02166	female	EAS
HG02775	female	SAS
HG03168	female	AFR
HG02173	female	EAS
HG02819	male	AFR
HG03170	male	AFR
HG02178	female	EAS
HG02821	male	AFR
HG03175	male	AFR
HG02180	female	EAS
HG02838	male	AFR
HG03238	female	SAS
HG02185	female	EAS
HG02840	female	AFR
HG03240	male	AFR
HG02217	female	EUR
HG02852	female	AFR
HG03303	female	AFR
HG02318	female	AFR
HG02787	female	SAS
HG03308	male	AFR
HG02464	male	AFR
HG02794	male	SAS
HG03310	female	AFR
HG02471	female	AFR
HG02799	female	AFR
HG03339	female	AFR
HG02476	female	AFR
HG02737	female	SAS
HG03118	male	AFR
HG02325	female	AFR
HG02756	male	AFR
HG03120	male	AFR
HG02332	male	AFR
HG02655	female	SAS
HG03125	female	AFR
HG02337	female	AFR
HG02662	female	SAS
HG03194	male	AFR
HG02344	male	AMR
HG02807	male	AFR
HG03199	male	AFR
HG02351	male	EAS
HG02814	female	AFR
HG03202	male	AFR
HG02399	male	EAS
HG02698	male	SAS
HG03271	male	AFR
HG02402	male	EAS
HG02701	male	SAS
HG03295	male	AFR
HG02407	male	EAS
HG02725	female	SAS
HG03132	female	AFR
HG02419	female	AFR
HG02883	male	AFR
HG03137	male	AFR
HG02356	male	EAS
HG02888	female	AFR
HG03098	male	AFR
HG02363	male	EAS
HG02890	male	AFR
HG03101	male	AFR
HG02375	male	EAS
HG02895	male	AFR
HG03113	female	AFR
HG02382	male	EAS
HG02922	female	AFR
HG03269	male	AFR
HG02387	male	EAS
HG03019	female	SAS
HG03473	female	AFR
HG02394	male	EAS
HG03021	male	SAS
HG03478	male	AFR
HG02541	male	AFR
HG03026	female	AFR
HG03480	female	AFR
HG02546	female	AFR
HG03033	male	AFR
HG03485	female	AFR
HG02558	female	AFR
HG03040	female	AFR
HG03454	male	AFR
HG02508	female	AFR
HG02984	male	AFR
HG03459	male	AFR
HG02522	female	EAS
HG03007	female	SAS
HG03461	female	AFR
HG02490	male	SAS
HG03045	male	AFR
HG03466	male	AFR
HG02495	female	SAS
HG03052	female	AFR
HG03428	female	AFR
HG02433	male	AFR
HG03057	male	AFR
HG03442	male	AFR
HG02445	male	AFR
HG02939	male	AFR
HG03517	female	AFR
HG02717	male	AFR
HG02941	male	AFR
HG03548	female	AFR
HG02724	male	SAS
HG02946	female	AFR
HG03372	female	AFR
HG02628	male	AFR
HG02953	male	AFR
HG03384	female	AFR
HG02630	female	AFR
HG03064	female	AFR
HG03567	female	AFR
HG02635	female	AFR
HG03069	male	AFR
HG03574	male	AFR
HG02642	male	AFR
HG03076	female	AFR
HG03391	male	AFR
HG02647	male	AFR
HG02965	male	AFR
HG03411	female	AFR
HG02604	female	SAS
HG02972	male	AFR
HG03492	male	SAS
HG02611	female	AFR
HG02977	male	AFR
HG03341	female	AFR
HG02623	male	AFR
HG02869	male	AFR
HG03365	male	AFR
HG02685	female	SAS
HG02871	female	AFR
HG03644	male	SAS
HG02692	female	SAS
HG03088	female	AFR
HG03649	male	SAS
HG02697	female	SAS
HG03095	female	AFR
HG03651	male	SAS
HG02700	female	SAS
HG03228	male	SAS
HG03656	female	SAS
HG02666	male	AFR
HG03230	female	SAS
HG03702	male	SAS
HG02678	male	AFR
HG03235	female	SAS
HG03707	male	SAS
HG02680	female	AFR
HG03242	male	AFR
HG03714	female	SAS
HG02572	male	AFR
HG03103	male	AFR
HG03733	female	SAS
HG02577	female	AFR
HG03108	female	AFR
HG03738	male	SAS
HG02584	male	AFR
HG03110	female	AFR
HG03740	male	SAS
HG02654	male	SAS
HG03115	male	AFR
HG03745	male	SAS
HG02659	female	SAS
HG03247	female	AFR
HG03752	female	SAS
HG02661	female	SAS
HG03259	female	AFR
HG03579	male	AFR
HG02729	male	SAS
HG03266	female	AFR
HG03593	male	SAS
HG02731	female	SAS
HG03134	male	AFR
HG03598	female	SAS
HG02736	male	SAS
HG03139	male	AFR
HG03663	male	SAS
HG02589	female	AFR
HG03158	female	AFR
HG03668	female	SAS
HG02596	male	AFR
HG03160	male	AFR
HG03682	male	SAS
HG02983	female	AFR
HG03191	male	AFR
HG03687	male	SAS
HG03006	male	SAS
HG03196	male	AFR
HG03694	male	SAS
HG02818	female	AFR
HG03209	male	AFR
HG03699	male	SAS
HG02820	female	AFR
HG03280	male	AFR
HG03620	female	SAS
HG02837	female	AFR
HG03297	female	AFR
HG03625	female	SAS
HG02851	male	AFR
HG03300	female	AFR
HG03606	male	SAS
HG02762	male	AFR
HG03172	male	AFR
HG03618	male	SAS
HG02774	male	SAS
HG03189	female	AFR
HG03719	female	SAS
HG02779	male	SAS
HG03122	male	AFR
HG03721	female	SAS
HG02798	male	AFR
HG03127	male	AFR
HG03757	female	SAS
HG02806	female	AFR
HG03305	female	AFR
HG03769	male	SAS
HG02813	male	AFR
HG03312	female	AFR
HG03771	male	SAS
HG02964	female	AFR
HG03519	male	AFR
HG03790	male	SAS
HG02969	female	AFR
HG03521	male	AFR
HG03795	male	SAS
HG02971	male	AFR
HG03538	male	AFR
HG03803	male	SAS
HG02976	female	AFR
HG03540	female	AFR
HG03904	female	SAS
HG02781	female	SAS
HG03557	female	AFR
HG03909	male	SAS
HG02786	male	SAS
HG03432	male	AFR
HG03911	male	SAS
HG02793	female	SAS
HG03437	female	AFR
HG03884	female	SAS
HG02938	male	AFR
HG03449	female	AFR
HG03896	male	SAS
HG02945	female	AFR
HG03451	male	AFR
HG03808	female	SAS
HG02952	female	AFR
HG03343	male	AFR
HG03815	male	SAS
HG02882	female	AFR
HG03350	male	AFR
HG03783	male	SAS
HG02887	male	AFR
HG03362	male	AFR
HG03788	male	SAS
HG02856	male	AFR
HG03367	male	AFR
HG03858	female	SAS
HG02870	female	AFR
HG03564	female	AFR
HG03872	male	SAS
HG03164	female	AFR
HG03569	female	AFR
HG03822	male	SAS
HG03169	male	AFR
HG03571	male	AFR
HG03834	female	SAS
HG03171	female	AFR
HG03576	female	AFR
HG03846	male	SAS
HG03176	male	AFR
HG03470	female	AFR
HG03978	male	SAS
HG03018	male	SAS
HG03487	male	SAS
HG03985	male	SAS
HG03025	female	AFR
HG03393	female	AFR
HG03992	male	SAS
HG03049	female	AFR
HG03398	female	AFR
HG03916	female	SAS
HG03056	male	AFR
HG03401	female	AFR
HG03928	female	SAS
HG03119	female	AFR
HG03499	female	AFR
HG03930	female	SAS
HG03121	female	AFR
HG03514	female	AFR
HG03942	male	SAS
HG03126	female	AFR
HG03374	female	AFR
HG03947	female	SAS
HG03190	male	AFR
HG03381	female	AFR
HG04003	male	SAS
HG03195	female	AFR
HG03456	male	AFR
HG04015	male	SAS
HG03203	female	AFR
HG03468	male	AFR
HG04022	male	SAS
HG03099	female	AFR
HG03704	female	SAS
HG04135	female	SAS
